ID,Store ID,Country,Product ID,Product Category,Units Sold,Date of Sale,GDP Growth Rate,Inflation Rate,Price Sold
141,7423,Germany,27734,Mens,2,1/17/2024,5.15,4.22,24.78
142,1427,Italy,14368,Mens,6,3/31/2023,4.32,-1.2,83.08
143,9681,Spain,43668,Womens,6,2/7/2024,0.57,8.01,45.23
144,3510,Spain,87073,Mens,8,12/18/2023,9.73,7.33,26.28
145,1893,UK,13493,Womens,9,6/28/2023,5.45,9.28,39.37
146,5395,France,49946,Mens,2,9/2/2023,-4.7,-4.47,46.03
147,3673,UK,53098,Womens,10,3/23/2023,7.18,6.81,69.32
148,3158,UK,17407,Mens,3,9/16/2023,2.25,7.58,70.81
149,3247,France,84023,Mens,8,4/7/2023,-2.94,-4.44,89.36
150,2304,Germany,44196,Womens,2,7/17/2023,7.89,-4.44,97.33
151,3401,France,25044,Womens,9,11/23/2023,-0.18,-2.1,68.03
152,2460,Germany,42495,Womens,9,7/4/2023,0.69,4.82,52.75
153,1612,Germany,77641,Mens,3,6/8/2023,9.53,-1.98,92.72
154,8210,Germany,34155,Womens,3,2/23/2024,0.19,-0.68,34.37
155,9167,UK,50384,Womens,3,11/14/2023,-1.57,0.1,94.73
156,5983,Spain,30165,Womens,2,5/20/2023,-3.14,0.52,53.75
157,4971,France,79297,Mens,5,10/8/2023,-0.02,3.3,60.98
158,7420,Spain,74819,Womens,9,9/13/2023,4.05,1.45,47.86
159,2003,Germany,68602,Womens,10,6/15/2023,0.8,7.8,87.9
160,7345,France,21371,Womens,10,10/29/2023,5.68,6.03,73.08
161,5395,France,75355,Mens,2,11/18/2023,-4.57,2.46,97.3
162,5645,Germany,93430,Womens,8,4/25/2023,5.73,-2.03,94.26
163,8693,Spain,80584,Womens,2,8/30/2023,7.74,-3.21,57.54
164,5466,UK,39215,Mens,8,9/30/2023,1.9,0.1,19.35
165,1711,UK,59472,Womens,10,10/27/2023,9.2,0.4,96.83
166,1390,UK,50026,Womens,1,4/20/2023,8.35,8.08,88.73
167,1265,Spain,38047,Mens,10,1/25/2024,-1.2,3.91,59.25
168,6984,Italy,32524,Womens,10,5/24/2023,-4.46,-4.76,74.52
169,7423,France,45437,Womens,6,6/26/2023,-2.34,8.6,78.76
170,1971,France,45164,Womens,5,2/3/2024,-1.45,0.46,68.61
171,9432,France,90150,Mens,9,8/2/2023,1.78,9.08,71.75
172,5688,Germany,73366,Womens,3,5/30/2023,-4.62,7.07,48.75
173,8036,France,72532,Mens,5,11/12/2023,6.58,0.49,94.49
174,2304,UK,43226,Womens,10,2/12/2024,3.23,-0.4,23.84
175,5688,Germany,62405,Mens,7,4/30/2023,-4,1.31,89.01
176,2269,Germany,41537,Mens,1,9/6/2023,7.88,3.06,35.08
177,9432,France,25746,Mens,7,5/26/2023,9.35,7.93,19.43
178,9976,Germany,33825,Womens,1,9/10/2023,-3.83,1.55,82.32
179,9167,Germany,13523,Mens,8,12/3/2023,-4.44,9.73,59.05
180,1721,Italy,99789,Mens,7,8/11/2023,3.51,-2.73,55.82
181,5959,Italy,38068,Mens,10,6/6/2023,-0.89,7.13,41.04
182,7217,France,25585,Womens,9,1/12/2024,9.32,1.98,73.17
183,8432,Germany,33214,Womens,1,1/22/2024,8.67,-0.46,17.97
184,1233,Spain,72887,Womens,1,1/23/2024,6.19,-4.63,79.99
185,1269,Italy,96701,Mens,9,5/11/2023,1.4,0.77,85.03
186,7634,UK,63711,Womens,6,12/22/2023,-2.93,0.15,63.12
187,1294,Spain,39206,Womens,6,7/8/2023,5.79,0.62,25.02
188,1269,Germany,85124,Womens,9,11/28/2023,-1.7,4.71,25.03
189,4137,Germany,71111,Mens,9,5/6/2023,8.71,-0.43,21.83
190,5232,Spain,94570,Mens,10,6/20/2023,2.71,9.96,90.81
191,1565,France,78389,Mens,9,5/29/2023,8.28,-4.16,21.06
192,6871,Italy,36945,Mens,5,12/14/2023,-3.07,-3.64,37.36
193,9170,Italy,95910,Womens,8,2/2/2024,-2.02,2.56,42.53
194,2912,France,39420,Womens,9,4/22/2023,2.49,-4.68,60.46
195,9070,UK,91375,Mens,9,4/6/2023,8.47,1.73,19.23
196,4971,UK,68347,Womens,9,2/13/2024,4.28,1.01,78.76
197,6281,Italy,88855,Womens,8,11/4/2023,5.85,0.95,75.87
198,7951,France,56480,Mens,9,10/17/2023,-3.84,6.89,77.94
199,5251,Italy,88231,Womens,10,1/19/2024,-0.84,-1.12,26.47
200,5845,France,43984,Mens,3,3/19/2023,-1.94,-3.31,58.09
201,1567,Spain,78346,Mens,7,2/29/2024,2.65,0.14,35.93
202,3940,Germany,30215,Mens,1,10/19/2023,7.34,4.24,88.21
203,2085,France,49136,Womens,7,11/29/2023,8.69,1.65,85.75
204,2269,Germany,87810,Womens,9,5/20/2023,-1.58,7.93,60.97
205,5737,France,21198,Womens,4,5/8/2023,8.72,0.76,52.58
206,1134,Italy,35074,Mens,2,7/9/2023,-0.43,-2.59,99.08
207,9481,France,33240,Womens,9,3/14/2023,-0.14,-4.96,27.66
208,8998,UK,73531,Mens,10,7/28/2023,1.88,8.45,12.41
209,9481,Germany,96616,Mens,5,4/5/2023,1.09,-1.11,30.85
210,1294,Germany,20824,Mens,3,2/1/2024,-2.87,-1.64,10.06
211,3756,Italy,69387,Mens,6,1/29/2024,-4.22,-0.72,56.04
212,1817,Germany,86441,Womens,9,8/16/2023,4.79,6.02,51.01
213,2743,France,70808,Mens,5,11/3/2023,9.98,3.39,98.35
214,4137,Italy,83311,Mens,10,8/30/2023,5.45,9.82,29.85
215,6251,UK,22432,Mens,9,10/13/2023,8.49,-0.64,57.22
216,7420,France,33704,Womens,5,5/16/2023,8.29,7.9,62.87
217,2067,Spain,79483,Mens,10,7/20/2023,-2.69,9.8,76.26
218,7273,Italy,95354,Mens,9,4/13/2023,-0.99,-3.54,64.1
219,9719,UK,45874,Mens,6,8/31/2023,3.53,6.52,84.14
220,6871,Germany,47110,Mens,3,6/3/2023,2.17,1.59,29.6
221,1148,UK,40034,Womens,7,6/11/2023,-3.01,4.25,32.26
222,6281,Italy,72337,Womens,6,1/23/2024,3.87,9.94,85.06
223,5959,France,99228,Womens,8,9/21/2023,-0.48,4.75,20.45
224,8459,Spain,98088,Mens,8,8/9/2023,9.33,0.75,52.88
225,5688,Spain,91002,Womens,10,1/13/2024,2.56,5.48,68.92
226,1858,France,16025,Womens,3,3/7/2024,7.17,8.59,14.91
227,9742,France,38920,Mens,4,1/30/2024,-1.8,8.28,12.33
228,2676,France,97687,Mens,7,9/21/2023,9.4,2.93,77.42
229,8085,France,69536,Mens,8,5/11/2023,6.3,6.52,72.34
230,3224,Spain,27263,Womens,2,5/19/2023,2.1,2.96,62.94
231,8942,France,38974,Womens,9,6/8/2023,9.92,-2.68,58.78
232,5466,Italy,31672,Womens,7,3/21/2023,-3.42,-2.87,62.71
233,4055,UK,74405,Womens,1,12/4/2023,1,-2.43,53.13
234,1505,Italy,35787,Womens,8,8/23/2023,-2.52,8.5,24.82
235,8099,Germany,52910,Womens,3,7/20/2023,-3.32,3.88,43.6
236,6806,France,55987,Mens,5,1/18/2024,2.28,4.81,53.83
237,1346,Italy,54830,Womens,10,10/19/2023,3.18,-0.23,77.78
238,5346,France,64189,Womens,10,8/31/2023,3.93,8.74,13.64
239,2963,Italy,50827,Mens,10,9/30/2023,-4.05,4.05,81.83
240,5232,Germany,69542,Mens,8,4/8/2023,3.89,0.76,82.31
241,5983,UK,35241,Mens,8,7/11/2023,-1.58,-1.34,27.44
242,9976,Italy,26362,Mens,10,2/19/2024,7.21,8.18,58.2
243,3161,France,67409,Mens,5,7/5/2023,8.77,-4.51,76.64
244,2826,Spain,79263,Womens,8,5/22/2023,3.32,5.86,75.75
245,8372,UK,39676,Mens,8,1/27/2024,6.84,6.82,67.46
246,3631,France,33939,Womens,4,3/21/2023,4.69,6.54,73.07
247,8210,France,53161,Mens,5,10/17/2023,-1.48,5.09,68.19
248,9600,Italy,29564,Womens,5,2/10/2024,5.52,8.69,73.24
249,2912,Germany,62650,Womens,4,7/19/2023,4.78,2.29,60.21
250,7273,UK,39420,Womens,3,12/12/2023,-1.5,9.28,33.08
251,4836,Germany,43226,Womens,10,11/11/2023,5.01,1.07,16.07
252,5854,France,12454,Mens,2,5/4/2023,2.14,8.23,20.87
253,3224,Italy,71069,Mens,1,2/29/2024,-4.46,-3.17,17.96
254,9432,Germany,94396,Womens,7,10/13/2023,5.61,-2.9,76.07
255,2251,Germany,59437,Womens,1,6/4/2023,-4.76,-3.58,71.73
256,3224,Spain,41100,Womens,4,2/5/2024,6.02,7.74,69.11
257,7812,UK,93875,Womens,10,12/11/2023,9.68,10,70.55
258,3188,Spain,20393,Mens,5,4/12/2023,3.15,-1.9,44.59
259,2304,France,36332,Mens,1,2/19/2024,-0.33,-3.02,57.24
260,4343,UK,83875,Womens,1,9/7/2023,-1.44,-1.01,63.84
261,5983,Italy,33214,Womens,7,9/30/2023,8.84,-0.84,87.34
262,8998,UK,61120,Mens,10,8/28/2023,-1.08,5.45,59.65
263,7162,Spain,28562,Mens,7,9/3/2023,-0.74,-2.51,45.46
264,1649,UK,34475,Womens,5,9/6/2023,6.72,-4.44,82.87
265,6184,France,44665,Mens,2,9/21/2023,-4.36,7.12,16.69
266,5465,Spain,62071,Mens,10,6/1/2023,-1.29,1.39,16.3
267,9719,UK,30165,Womens,2,2/29/2024,-2.13,-2.83,45.34
268,3673,Italy,87476,Womens,3,7/20/2023,6.64,5.68,29.5
269,5465,UK,51311,Mens,2,8/6/2023,-0.61,4.65,99.09
270,5688,Italy,44685,Womens,10,6/19/2023,-3.89,5.27,35.6
271,9481,UK,33385,Womens,10,5/10/2023,4.36,-1.31,88.3
272,1971,UK,28484,Womens,4,5/12/2023,0.42,9.6,98.67
273,2251,France,11167,Mens,1,1/27/2024,4.56,-1.33,82.78
274,2527,Italy,39326,Womens,1,6/6/2023,-3.03,5.44,90.38
275,7156,France,83627,Womens,3,5/22/2023,0.59,3.23,31.84
276,6184,Spain,29001,Womens,10,7/9/2023,0.94,2.09,50.42
277,4343,Spain,90835,Mens,2,4/4/2023,-2.33,3.32,79.35
278,9738,Spain,36443,Mens,4,5/29/2023,6.44,6.69,46.47
279,2963,UK,62453,Womens,7,7/14/2023,6.15,7.12,37.77
280,5275,Spain,26569,Mens,10,1/25/2024,7.11,7.94,31.92
281,6389,UK,77145,Womens,8,6/6/2023,8.06,-4.67,19.88
282,5931,Italy,61293,Womens,9,10/6/2023,-3.78,8.83,78.37
283,5085,Italy,91366,Womens,4,2/9/2024,-0.92,1.88,71.85
284,1852,France,33920,Womens,5,10/17/2023,-3.24,0.05,53.02
285,3188,Spain,42960,Mens,2,3/28/2023,3.85,4.46,80.55
286,9719,Spain,90495,Mens,1,10/19/2023,-4.38,7.81,72.95
287,2269,Italy,70386,Womens,6,4/1/2023,6.92,4.43,36.29
288,2300,Spain,22090,Womens,5,7/19/2023,-0.59,7.92,25.71
289,1649,Germany,71012,Mens,8,7/12/2023,8.46,0.12,28.12
290,9742,Italy,48372,Mens,2,9/3/2023,0.09,4.49,37.03
291,8459,Spain,19763,Mens,6,5/18/2023,-1.73,-4.21,33.83
292,7031,UK,40332,Mens,1,4/22/2023,3.18,0.44,24.9
293,1852,UK,92310,Womens,10,8/7/2023,6.83,-2.48,34.41
294,3062,Germany,87742,Mens,1,7/26/2023,3.27,-4.84,24.2
295,8609,Spain,90895,Womens,5,8/31/2023,3.08,-4.4,90.48
296,3728,Italy,75186,Womens,1,1/8/2024,6.85,-3.36,59.2
297,3909,Germany,40332,Mens,4,9/10/2023,8.98,7.62,83.6
298,5837,UK,75027,Mens,4,4/28/2023,-2.88,-3.97,59.85
299,8733,Italy,43919,Womens,7,8/5/2023,9.39,-0.82,62.46
300,2185,France,56879,Womens,1,1/26/2024,-4.57,4.45,89.03
301,1390,Germany,97441,Womens,1,8/24/2023,-4.12,8.71,20.37
302,3224,Italy,64326,Womens,1,2/24/2024,8.31,-0.43,88.66
303,1294,France,83884,Mens,4,12/2/2023,9.01,4.26,87.27
304,2743,UK,43804,Womens,5,6/28/2023,9.03,2.38,74.28
305,2377,Germany,16332,Womens,8,8/16/2023,6.86,5.65,75.25
306,1148,France,24458,Womens,4,8/9/2023,2.18,-1.62,69.5
307,5295,UK,54482,Womens,8,11/11/2023,-4.85,-2.76,38.94
308,7861,Germany,38185,Mens,9,7/24/2023,2.74,4.77,79.93
309,2300,UK,80362,Womens,9,8/5/2023,-0.63,1.69,91.06
310,7634,UK,16991,Womens,8,9/11/2023,8.16,0.72,79.64
311,3631,Spain,83001,Womens,4,7/21/2023,-0.59,5.93,18.16
312,2720,Italy,53586,Mens,6,12/31/2023,4.6,-0.17,19.27
313,2302,Germany,32011,Womens,3,5/28/2023,3.05,2.58,59.43
314,7861,UK,31162,Mens,5,2/1/2024,2.76,5.91,75.84
315,9420,Spain,80002,Mens,10,12/21/2023,4.89,-3.75,34.8
316,3247,Italy,75274,Mens,1,8/20/2023,-1.02,6.5,97.67
317,2996,France,90172,Womens,4,7/15/2023,7.81,-4.29,37.11
318,2269,Germany,82311,Womens,4,3/14/2023,-0.44,-3.16,64.65
319,9170,UK,75186,Womens,3,6/6/2023,-1.9,3.97,93.19
320,7217,Germany,19020,Mens,1,11/1/2023,0.1,8.25,79.85
321,5845,Italy,33724,Mens,6,4/5/2023,0.81,-0.73,88.02
322,4866,Italy,34949,Mens,4,1/19/2024,-4.65,7.64,34.01
323,9167,Germany,26569,Mens,8,7/16/2023,3.51,-5,56.54
324,7423,Spain,49014,Womens,7,9/11/2023,0.2,-4.25,14.15
325,2489,Germany,72662,Womens,3,12/8/2023,5.86,7.13,29.22
326,2743,UK,11268,Womens,3,12/8/2023,-0.15,4.19,72.34
327,1427,Italy,89109,Womens,5,3/15/2023,-2.15,5.48,39.47
328,2377,UK,48183,Mens,3,1/12/2024,7.26,5.78,97.21
329,1852,UK,22795,Mens,4,6/11/2023,9.09,5.52,20.88
330,7951,France,60409,Mens,3,9/12/2023,6.23,3.24,48.96
331,5656,UK,32470,Mens,2,1/17/2024,3.59,5.28,14.9
332,3705,Spain,88257,Womens,8,8/31/2023,-1.63,8.9,45.99
333,3510,Italy,50514,Mens,8,4/18/2023,-2.91,-2.13,81.91
334,5845,Italy,98685,Mens,3,6/12/2023,6.51,-1.14,34.44
335,8600,France,17025,Womens,9,2/15/2024,5.39,5.56,91.23
336,4027,Spain,99260,Womens,2,10/1/2023,6.4,-0.97,88.58
337,2269,Spain,99228,Womens,6,4/19/2023,9.64,4.48,61.89
338,1294,Spain,42082,Mens,10,1/4/2024,0.93,1.91,32.34
339,1662,Spain,93395,Mens,6,11/18/2023,2.87,1.37,70.29
340,9681,Spain,86441,Womens,7,8/25/2023,8.55,-3.61,29.55
341,4866,UK,41289,Mens,8,12/7/2023,8.45,8.9,71.22
342,1249,Germany,95131,Womens,6,10/12/2023,-1.37,2.48,50.01
343,6613,Italy,86054,Mens,8,9/28/2023,8.38,6.73,98.26
344,3728,Italy,30916,Mens,5,6/24/2023,6.18,9.17,94.17
345,8459,UK,79389,Mens,8,8/11/2023,5.33,2.8,61.35
346,5764,Italy,63438,Mens,2,4/9/2023,8.5,8.14,39.96
347,4836,UK,80283,Mens,7,12/30/2023,8.04,4.83,89.08
348,7951,Italy,29524,Mens,1,3/18/2023,0.95,6.1,60.66
349,8998,Germany,58466,Womens,2,10/5/2023,7.16,7.75,32.38
350,2003,UK,26890,Womens,1,3/11/2023,8.46,-2.49,82.23
351,3909,Spain,11583,Womens,7,7/2/2023,8.41,0.35,79.23
352,5645,France,90835,Mens,3,8/16/2023,-0.7,10,84.49
353,1034,UK,32774,Mens,6,5/26/2023,-4.79,-2.62,63.91
354,6806,Germany,11223,Mens,1,2/28/2024,7.61,9.59,86.63
355,7346,Spain,94992,Mens,6,2/18/2024,0.66,-4.24,64.98
356,1150,UK,27748,Mens,6,4/19/2023,5.78,4.79,15.53
357,3631,Germany,21985,Mens,4,3/3/2024,2.38,-4.49,18.85
358,7634,Italy,26609,Womens,4,4/1/2023,4.26,-3.67,11.47
359,7346,France,71022,Womens,7,1/2/2024,5.22,-3.82,12.07
360,6742,Italy,42960,Mens,3,11/13/2023,5.69,7.25,28.11
361,1233,Italy,75274,Mens,4,4/8/2023,6.21,1.59,84.61
362,8600,Spain,91002,Womens,6,5/8/2023,3.56,1.62,88.22
363,2251,Spain,78566,Womens,8,9/30/2023,2.13,4.98,60.82
364,9976,France,26569,Mens,2,12/17/2023,-1.84,2.52,28.7
365,8432,Spain,49595,Mens,6,8/14/2023,0.24,2.17,93.76
366,7958,UK,12207,Mens,9,2/7/2024,-4.59,-3.4,49.2
367,1148,UK,20829,Womens,2,8/30/2023,9.29,-1.03,23.9
368,9738,Germany,12570,Womens,5,4/4/2023,-4.44,8.9,83.18
369,1505,UK,38036,Womens,10,2/4/2024,-0.94,4.7,90.24
370,4836,France,74959,Womens,1,11/8/2023,5.1,1.32,13.34
371,5737,UK,74003,Womens,2,1/26/2024,4.29,-1.98,38.31
372,9600,Germany,67786,Womens,2,11/19/2023,6.71,-4.34,32.01
373,5663,Spain,90575,Womens,3,6/27/2023,4.77,4.84,22.55
374,5737,Italy,40294,Womens,3,10/12/2023,6.62,9.58,20.54
